"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 14:07:52 GMT 2024","Wed May 15 14:07:55 GMT 2024","2424","","Login","","Login to the SwagLabs Application with the correct credentials.","","Login to the SwagLabs Application with the correct credentials.",""
"passed","Wed May 15 14:07:50 GMT 2024","Wed May 15 14:07:52 GMT 2024","2433","","Login","","Login to the SwagLabs Application with the correct credentials.","","Login to the SwagLabs Application with the correct credentials.",""
"passed","Wed May 15 14:07:35 GMT 2024","Wed May 15 14:07:50 GMT 2024","15102","","Chart","","From home page add products to the chart","","From home page add products to the chart",""
