"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login","Login to the SwagLabs Application with the correct credentials.","0","0","2","0","0"
"","Chart","From home page add products to the chart","0","0","1","0","0"
